compound,river,date_sampled,year,result,result_unit,group
Metribuzin,Montague River,07/20/2011 12:00:00 AM,2011,< 0.03,ng/ml,Herbicides
Cypermethrin,Morell River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Azinphos-Methyl,Wilmot River,07/21/2015 12:00:00 AM,2015,< 0.03,ng/ml,Insecticides
Fludioxonil,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Terbacil,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Chlorantraniliprole,Huntley River,09/16/2015 12:00:00 AM,2015,0.12,ng/ml,Insecticides
Hexazinone,Wilmot River,08/09/2012 12:00:00 AM,2012,< 0.06,ng/ml,Herbicides
Propoxur,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Propiconazole,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.071,ng/ml,Fungicides
Atrazine,Huntley River,07/19/2012 12:00:00 AM,2012,< 0.03,ng/ml,Herbicides
Metobromuron,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Metobromuron,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Chlorantraniliprole,Winter River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Thiophanate-Methyl,Clyde River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Metobromuron,West River,09/13/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Fludioxonil,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Methamidophos,Clyde River,07/20/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Imidacloprid,Wilmot River,07/26/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Linuron,Montague River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Propiconazole,Winter River,08/18/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Linuron,Dunk River,06/15/2017 12:00:00 AM,2017,0.05,ng/ml,Herbicides
Dimethoate,Montague River,06/27/2018 12:00:00 AM,2018,< 0.04,ng/ml,Insecticides
Chlorothalonil,Morell River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Tetrasul,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Acaricides
Methamidophos,Winter River,06/15/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Propiconazole,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.071,ng/ml,Fungicides
Chlorantraniliprole,Montague River,07/20/2011 12:00:00 AM,2011,< 0.1,ng/ml,Insecticides
Thiamethoxam,Montague River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiophanate-Methyl,Morell River,08/04/2010 12:00:00 AM,2010,< 0.1,ng/ml,Fungicides
Azoxystrobin,Wilmot River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Atrazine,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Atrazine,Winter River,09/09/2014 12:00:00 AM,2014,< 0.03,ng/ml,Herbicides
Dimethoate,Montague River,08/10/2011 12:00:00 AM,2011,< 0.04,ng/ml,Insecticides
Paraquat,Dunk River,08/08/2013 12:00:00 AM,2013,< 10,ng/ml,Herbicides
Isofenphos,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Insecticides
Difenoconazole,Morell River,05/28/2018 12:00:00 AM,2018,< 0.102,ng/ml,Fungicides
Phorate,Montague River,07/29/2014 12:00:00 AM,2014,< 0.01,ng/ml,Insecticides
Azoxystrobin,West River,08/17/2016 12:00:00 AM,2016,< 0.02,ng/ml,Fungicides
Diphenamid,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Ipconazole,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Chlorpyrifos,Morell River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Propiconazole,Mill River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Thiamethoxam,Mill River,08/24/2017 12:00:00 AM,2017,0.01,ng/ml,Insecticides
Methamidophos,Wilmot River,09/12/2018 12:00:00 AM,2018,< 5.0,ng/ml,Insecticides
Propiconazole,Winter River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Cypermethrin,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.01,ng/ml,Insecticides
Permethrin,Mill River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Terbacil,Wilmot River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Famoxadone,West River,05/28/2018 12:00:00 AM,2018,< 0.154,ng/ml,Fungicides
Phorate,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Lindane,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Permethrin,Montague River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Metribuzin,Montague River,08/10/2011 12:00:00 AM,2011,< 0.03,ng/ml,Herbicides
Cypermethrin,Morell River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Chlorantraniliprole,Morell River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Clothianidin,Dunk River,07/22/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Thiamethoxam,Winter River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Metiram,Clyde River,10/01/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Metiram,Clyde River,10/01/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Azinphos-Methyl,West River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Glufosinate,Winter River,05/28/2018 12:00:00 AM,2018,< 1.0,ng/ml,Herbicides
Metribuzin,Clyde River,07/21/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Metalaxyl,Winter River,07/25/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Phorate,West River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Fonofos,West River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Permethrin,West River,06/26/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Imidacloprid,Wilmot River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Fludioxonil,Morell River,08/04/2010 12:00:00 AM,2010,< 0.01,ng/ml,Fungicides
Metobromuron,Montague River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Thiabendazole,Huntley River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Metiram,Morell River,07/19/2016 12:00:00 AM,2016,< 1000,ng/ml,Fungicides
Metiram,Morell River,07/19/2016 12:00:00 AM,2016,< 1000,ng/ml,Fungicides
Metobromuron,Huntley River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Metobromuron,Winter River,07/29/2014 12:00:00 AM,2014,< 0.03,ng/ml,Herbicides
Flupyradifurone,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.14,ng/ml,Insecticides
Metalaxyl,Winter River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Pirimicarb,Montague River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Bromoxynil,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Clodinafop-Propargyl,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.152,ng/ml,Herbicides
Metribuzin,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Fludioxonil,Winter River,08/25/2011 12:00:00 AM,2011,< 0.01,ng/ml,Fungicides
Isofenphos,Winter River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Insecticides
Azoxystrobin,Morell River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Azinphos-Methyl,Morell River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Dimethachlor,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Flumetralin,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Plant Growth Regulators
Phorate,Clyde River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Fludioxonil,West River,08/12/2010 12:00:00 AM,2010,< 0.01,ng/ml,Fungicides
Propiconazole,Montague River,09/14/2011 12:00:00 AM,2011,< 0.1,ng/ml,Fungicides
Azinphos-Methyl,Montague River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Insecticides
Metribuzin,Morell River,07/14/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Metribuzin,Morell River,07/14/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Linuron,Huntley River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Azoxystrobin,West River,08/08/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Propiconazole,Huntley River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Propiconazole,Winter River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Clothianidin,West River,08/21/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Clothianidin,Montague River,09/28/2017 12:00:00 AM,2017,0.03,ng/ml,Insecticides
Bifenazate,Winter River,05/28/2018 12:00:00 AM,2018,< 0.131,ng/ml,Acaricides
Alachlor,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Chlorothalonil,Huntley River,07/22/2009 12:00:00 AM,2009,< 0.02,ng/ml,Fungicides
Ethofumesate,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Metalaxyl,Wilmot River,06/26/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Linuron,Wilmot River,07/22/2009 12:00:00 AM,2009,0.11,ng/ml,Herbicides
Metobromuron,Morell River,06/27/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Morell River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Thiophanate-Methyl,Clyde River,06/15/2017 12:00:00 AM,2017,0.06,ng/ml,Fungicides
Metribuzin,West River,08/04/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Mcpa,Morell River,08/12/2010 12:00:00 AM,2010,< 0.5,ng/ml,Herbicides
Mancozeb,Dunk River,09/13/2016 12:00:00 AM,2016,< 100,ng/ml,Fungicides
Mancozeb,Dunk River,09/13/2016 12:00:00 AM,2016,< 100,ng/ml,Fungicides
Thiabendazole,West River,07/19/2016 12:00:00 AM,2016,< 0.02,ng/ml,Fungicides
Tebuconazole,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Fungicides
Dichlofenthion,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Metalaxyl,West River,08/08/2013 12:00:00 AM,2013,< 0.03,ng/ml,Fungicides
Carbofuran,West River,08/16/2016 12:00:00 AM,2016,< 0.02,ng/ml,Insecticides
Chlorpyrifos,Morell River,08/16/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Phorate,Mill River,08/10/2011 12:00:00 AM,2011,< 0.01,ng/ml,Insecticides
Clothianidin,Mill River,08/24/2017 12:00:00 AM,2017,0.12,ng/ml,Insecticides
Thiabendazole,Montague River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Phorate,Morell River,07/14/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Phorate,Morell River,07/14/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Cyantraniliprole,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Cyantraniliprole,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Trifluralin,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Thiamethoxam,Mill River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Boscalid,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Azoxystrobin,Huntley River,08/19/2009 12:00:00 AM,2009,< 0.05,ng/ml,Fungicides
Flumioxazin,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.073,ng/ml,Herbicides
Dichlobenil,Montague River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Chlorpyrifos,Clyde River,08/13/2015 12:00:00 AM,2015,< 0.01,ng/ml,Insecticides
Prometon,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Hexazinone,Wilmot River,08/18/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Dichlobenil,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Imidacloprid,Clyde River,07/21/2015 12:00:00 AM,2015,0.05,ng/ml,Insecticides
Bifenthrin,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Imazethapyr,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.108,ng/ml,Herbicides
Cypermethrin,Winter River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Clothianidin,West River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Simazine,Morell River,05/28/2018 12:00:00 AM,2018,< 0.075,ng/ml,Herbicides
Chlorantraniliprole,Huntley River,08/24/2017 12:00:00 AM,2017,0.09,ng/ml,Insecticides
Ampa,Clyde River,05/28/2018 12:00:00 AM,2018,< 1.0,ng/ml,Herbicides
Metribuzin,Dunk River,10/01/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Hexazinone,Dunk River,08/04/2010 12:00:00 AM,2010,< 0.06,ng/ml,Herbicides
Endrin,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Thiabendazole,Wilmot River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Methamidophos,Morell River,07/19/2016 12:00:00 AM,2016,< 5.0,ng/ml,Insecticides
Permethrin,Winter River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metobromuron,Clyde River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Morell River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Atrazine,Montague River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Methamidophos,Dunk River,09/12/2018 12:00:00 AM,2018,< 5.0,ng/ml,Insecticides
Metiram,Winter River,08/24/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Metiram,Winter River,08/24/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Carbofuran,Huntley River,08/09/2012 12:00:00 AM,2012,< 0.05,ng/ml,Insecticides
Metobromuron,West River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Chlorantraniliprole,Wilmot River,07/19/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
Metalaxyl,Morell River,07/25/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Pirimicarb,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Chlorpyrifos,Clyde River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Chlorpyrifos,Montague River,06/27/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Mecoprop,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Eptc,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Metobromuron,Montague River,08/10/2011 12:00:00 AM,2011,< 0.03,ng/ml,Herbicides
Atrazine,Clyde River,08/13/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Cypermethrin,West River,08/16/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Dimethoate,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.04,ng/ml,Insecticides
Metribuzin,Wilmot River,07/26/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Chlorpyrifos,Morell River,07/19/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Atrazine,Morell River,09/13/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Chlorpyrifos,Mill River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Dimethoate,West River,07/20/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Propetamphos,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Permethrin,Morell River,08/16/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Diquat,West River,09/03/2013 12:00:00 AM,2013,< 10,ng/ml,Herbicides
Atrazine,Winter River,07/20/2011 12:00:00 AM,2011,< 0.03,ng/ml,Herbicides
Propiconazole,Montague River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Clothianidin,Mill River,10/05/2017 12:00:00 AM,2017,0.08,ng/ml,Insecticides
Rimsulfuron,Winter River,08/18/2014 12:00:00 AM,2014,< 0.02,ng/ml,Herbicides
Metiram,Dunk River,09/03/2013 12:00:00 AM,2013,< 1000,ng/ml,Fungicides
Metiram,Dunk River,09/03/2013 12:00:00 AM,2013,< 1000,ng/ml,Fungicides
Metribuzin,West River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Terbacil,Montague River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Linuron,West River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Fludioxonil,Mill River,08/21/2014 12:00:00 AM,2014,< 0.01,ng/ml,Fungicides
Atrazine,Mill River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Permethrin,Morell River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Isofenphos,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Insecticides
Rimsulfuron,Winter River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Linuron,Dunk River,08/21/2018 12:00:00 AM,2018,0.08,ng/ml,Herbicides
Azoxystrobin,Wilmot River,07/19/2012 12:00:00 AM,2012,< 0.05,ng/ml,Fungicides
Chlorpyrifos,Montague River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Dichlobenil,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Cyfluthrin,West River,05/28/2018 12:00:00 AM,2018,< 0.073,ng/ml,Insecticides
Atrazine,Clyde River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Methamidophos,Morell River,09/13/2016 12:00:00 AM,2016,< 5.0,ng/ml,Insecticides
Metiram,Mill River,08/24/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Metiram,Mill River,08/24/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Trifluralin,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Carbofuran,Wilmot River,08/19/2009 12:00:00 AM,2009,< 0.05,ng/ml,Insecticides
Dimethoate,Wilmot River,07/14/2009 12:00:00 AM,2009,< 0.04,ng/ml,Insecticides
Paraquat,Huntley River,09/17/2009 12:00:00 AM,2009,< 10,ng/ml,Herbicides
Fenoxaprop,West River,05/28/2018 12:00:00 AM,2018,< 0.052,ng/ml,Herbicides
Pyridaben,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Terbacil,Huntley River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Nitrapyrin,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Bactericides
Paraquat,Wilmot River,07/14/2009 12:00:00 AM,2009,< 10,ng/ml,Herbicides
Thiamethoxam,Winter River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Quinclorac,Mill River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Bifenthrin,West River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Propiconazole,West River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Rimsulfuron,Huntley River,08/18/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Thiabendazole,Clyde River,08/09/2012 12:00:00 AM,2012,< 0.05,ng/ml,Fungicides
Linuron,Montague River,08/18/2014 12:00:00 AM,2014,< 0.02,ng/ml,Herbicides
Fenchlorphos,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Chlormephos,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Ethofumesate,Montague River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Mancozeb,Huntley River,06/26/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Mancozeb,Huntley River,06/26/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Metolachlor,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Hexazinone,West River,08/04/2010 12:00:00 AM,2010,< 0.06,ng/ml,Herbicides
Tebuconazole,Mill River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Fungicides
Rimsulfuron,Montague River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Metribuzin,West River,09/03/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Azoxystrobin,Huntley River,09/17/2009 12:00:00 AM,2009,< 0.05,ng/ml,Fungicides
Fonofos,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Diquat,Dunk River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Diquat,Dunk River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Permethrin,Mill River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metalaxyl,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Oxyfluorfen,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.123,ng/ml,Herbicides
Chlorantraniliprole,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Atrazine,Huntley River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Chlorothalonil,Huntley River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Dimethoate,Wilmot River,08/21/2018 12:00:00 AM,2018,< 0.04,ng/ml,Insecticides
Phorate,Dunk River,08/08/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Paraquat,Morell River,08/08/2013 12:00:00 AM,2013,< 10,ng/ml,Herbicides
Imidacloprid,Montague River,08/10/2011 12:00:00 AM,2011,< 0.1,ng/ml,Insecticides
Clothianidin,Dunk River,09/03/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Thiophanate-Methyl,Dunk River,09/18/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Chlorothalonil,Winter River,09/14/2011 12:00:00 AM,2011,< 0.02,ng/ml,Fungicides
Chlorantraniliprole,Winter River,07/29/2014 12:00:00 AM,2014,< 0.02,ng/ml,Insecticides
Metalaxyl,Clyde River,08/22/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Chlorpyrifos,Mill River,06/26/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Chlorothalonil,Dunk River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Clothianidin,Dunk River,08/17/2016 12:00:00 AM,2016,0.02,ng/ml,Insecticides
Chlorpyrifos,West River,06/26/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Phorate,Huntley River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiabendazole,West River,07/20/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Metalaxyl,Dunk River,08/16/2016 12:00:00 AM,2016,< 0.03,ng/ml,Fungicides
Atrazine,West River,07/24/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Chlorothalonil,Morell River,08/12/2010 12:00:00 AM,2010,< 0.02,ng/ml,Fungicides
Flamprop-Methyl,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Cyprodinil,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Clodinafop-Propargyl,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.152,ng/ml,Herbicides
Chlorothalonil,Dunk River,07/26/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Atrazine,Morell River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Chlorthal-Dimethyl,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Quintozene,Montague River,05/28/2018 12:00:00 AM,2018,< 0.053,ng/ml,Fungicides
Metribuzin,Winter River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Metobromuron,Huntley River,07/21/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Dimethoate,Dunk River,08/16/2016 12:00:00 AM,2016,< 0.04,ng/ml,Insecticides
Chlorantraniliprole,Winter River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Clothianidin,Mill River,08/10/2011 12:00:00 AM,2011,< 0.01,ng/ml,Insecticides
Metalaxyl,Dunk River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Dichlorprop,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Cyfluthrin,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.073,ng/ml,Insecticides
Fludioxonil,Huntley River,07/21/2015 12:00:00 AM,2015,0.06,ng/ml,Fungicides
Atrazine,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Metiram,Montague River,07/20/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Metiram,Montague River,07/20/2017 12:00:00 AM,2017,< 1000,ng/ml,Fungicides
Metribuzin,Wilmot River,09/17/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Linuron,Huntley River,09/16/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Fenoxaprop,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.052,ng/ml,Herbicides
Dimethoate,Winter River,10/05/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Methamidophos,Dunk River,08/08/2013 12:00:00 AM,2013,< 5.0,ng/ml,Insecticides
Fludioxonil,Winter River,07/20/2011 12:00:00 AM,2011,< 0.01,ng/ml,Fungicides
Glufosinate,Wilmot River,05/28/2018 12:00:00 AM,2018,< 1.0,ng/ml,Herbicides
Thiophanate-Methyl,West River,08/16/2016 12:00:00 AM,2016,< 0.02,ng/ml,Fungicides
Metribuzin,West River,08/21/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Chlorantraniliprole,Huntley River,07/19/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
