compound,river,date_sampled,year,result,result_unit,group
Mancozeb,Mill River,08/10/2011 12:00:00 AM,2011,< 100,ng/ml,Fungicides
Clothianidin,Mill River,06/15/2017 12:00:00 AM,2017,0.04,ng/ml,Insecticides
Phorate,West River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Dimethoate,Morell River,10/01/2018 12:00:00 AM,2018,< 0.04,ng/ml,Insecticides
Methamidophos,Clyde River,08/13/2015 12:00:00 AM,2015,< 5.0,ng/ml,Insecticides
Dimethoate,Mill River,09/09/2014 12:00:00 AM,2014,< 0.04,ng/ml,Insecticides
Dimethoate,Dunk River,09/13/2016 12:00:00 AM,2016,< 0.04,ng/ml,Insecticides
Thiamethoxam,Dunk River,07/26/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Bromacil,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Azinphos-Methyl,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Thiamethoxam,Huntley River,07/19/2012 12:00:00 AM,2012,< 0.01,ng/ml,Insecticides
Atrazine,Dunk River,08/04/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Clothianidin,Morell River,07/19/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Chlorothalonil,Morell River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Chlorpyrifos,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Terbacil,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Carbofuran,Huntley River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Propiconazole,Huntley River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Fludioxonil,Mill River,08/18/2014 12:00:00 AM,2014,< 0.01,ng/ml,Fungicides
Phorate,Winter River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Fludioxonil,Morell River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Fungicides
Clothianidin,West River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Linuron,Wilmot River,08/18/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Dimethachlor,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Atrazine,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Pyridaben,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Carbaryl,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Insecticides
Phorate,Morell River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiophanate-Methyl,West River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Rimsulfuron,Wilmot River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Metobromuron,Winter River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Atrazine,Winter River,08/22/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
